帧,时间,播放,评论,同时人数,同时人数不带加号,点赞,投币,收藏,转发
3132474,2024-08-20T12:23:27+08:00,310.8,2.0,3000+,3000,29.4,30.4,11.1,4.5
1839738,2024-08-20T06:24:21+08:00,268.2,1.8,1000+,1000,27.4,28.4,10.4,4.3
4306382,2024-08-20T17:49:32+08:00,334.6,2.1,2000+,2000,30.8,31.8,11.7,4.7
168900,2024-08-19T22:40:14+08:00,238.8,1.6,5000+,5000,25.4,26.1,9.7,4.1
2736371,2024-08-20T10:33:25+08:00,300.1,1.9,2000+,2000,28.8,29.8,10.9,4.4
2189029,2024-08-20T08:01:23+08:00,278.1,1.9,2000+,2000,27.7,28.8,10.6,4.3
1882949,2024-08-20T06:36:21+08:00,268.8,1.8,1000+,1000,27.4,28.4,10.5,4.3
3298119,2024-08-20T13:09:28+08:00,316.4,2.0,3000+,3000,29.8,30.7,11.2,4.6
287731,2024-08-19T23:13:15+08:00,245.1,1.7,5000+,5000,25.8,26.4,9.8,4.1
2315061,2024-08-20T08:36:23+08:00,283.6,1.9,2000+,2000,28.0,29.0,10.6,4.4
3859867,2024-08-20T15:45:30+08:00,327.9,2.1,2000+,2000,30.4,31.4,11.5,4.6
2232240,2024-08-20T08:13:23+08:00,280.1,1.9,2000+,2000,27.8,28.8,10.6,4.3
1735310,2024-08-20T05:55:21+08:00,267.2,1.8,998,998,27.3,28.4,10.4,4.3
824270,2024-08-20T01:42:17+08:00,260.5,1.8,2000+,2000,26.9,27.8,10.3,4.3
309336,2024-08-19T23:19:15+08:00,246.0,1.7,5000+,5000,25.9,26.5,9.8,4.1
3506974,2024-08-20T14:07:29+08:00,321.7,2.1,2000+,2000,30.1,31.1,11.4,4.6
3161283,2024-08-20T12:31:27+08:00,311.8,2.0,3000+,3000,29.5,30.5,11.1,4.5
3730233,2024-08-20T15:09:30+08:00,325.9,2.1,2000+,2000,30.3,31.3,11.5,4.6
4511638,2024-08-20T18:46:33+08:00,338.2,2.2,2000+,2000,31.0,32.1,11.7,4.7
637021,2024-08-20T00:50:16+08:00,257.1,1.7,3000+,3000,26.7,27.5,10.2,4.2
2311460,2024-08-20T08:35:23+08:00,283.4,1.9,2000+,2000,28.0,29.0,10.6,4.4
1443632,2024-08-20T04:34:20+08:00,265.7,1.8,1000+,1000,27.3,28.3,10.4,4.3
104082,2024-08-19T22:22:14+08:00,235.7,1.6,5000+,5000,25.2,25.9,9.6,4.0
3096465,2024-08-20T12:13:27+08:00,309.5,2.0,3000+,3000,29.4,30.3,11.1,4.5
3136075,2024-08-20T12:24:27+08:00,311.0,2.0,3000+,3000,29.4,30.4,11.1,4.5
